dataset,regime,noise_type,noise_rate,seed,split,score_name,correctness_auroc,aurc,coverage_at_test_risk_0_05,coverage_at_test_risk_0_10,risk_at_coverage_0_10,risk_at_coverage_0_25,risk_at_coverage_0_50,risk_at_coverage_0_75,risk_at_coverage_1_00,n_examples,n_correct,accuracy,reason,run_dir
cifar100,clean,symmetric,0.0,1,test,energy,0.8301233636483534,0.07719397326427042,0.448,0.6776,0.014,0.022,0.0558,0.12146666666666667,0.2285,10000,7715,0.7715,ok,runs/srcc_cifar100_clean_seed1
cifar100,clean,symmetric,0.0,1,test,maxlogit,0.8396414385004063,0.07464188754667056,0.4624,0.6975,0.014,0.0216,0.0542,0.118,0.2285,10000,7715,0.7715,ok,runs/srcc_cifar100_clean_seed1
cifar100,clean,symmetric,0.0,2,test,msp,0.8758707174556317,0.061642544992534146,0.5923,0.7382,0.002,0.0084,0.0298,0.10493333333333334,0.2295,10000,7705,0.7705,ok,runs/srcc_cifar100_clean_seed2
cifar100,clean,symmetric,0.0,2,test,entropy,0.8664544851757128,0.06404084328246706,0.5822,0.7164,0.002,0.0092,0.032,0.1128,0.2295,10000,7705,0.7705,ok,runs/srcc_cifar100_clean_seed2
cifar100,clean,symmetric,0.0,2,test,margin,0.8764236221563396,0.06126362765835024,0.5963,0.742,0.002,0.008,0.03,0.1028,0.2295,10000,7705,0.7705,ok,runs/srcc_cifar100_clean_seed2
cifar100,clean,symmetric,0.0,2,test,energy,0.8359157890569884,0.07485982629267295,0.4791,0.68,0.007,0.0196,0.0518,0.1216,0.2295,10000,7705,0.7705,ok,runs/srcc_cifar100_clean_seed2
cifar100,clean,symmetric,0.0,2,test,maxlogit,0.8446238825763198,0.0725563511180884,0.5028,0.6905,0.007,0.0192,0.0492,0.11666666666666667,0.2295,10000,7705,0.7705,ok,runs/srcc_cifar100_clean_seed2
cifar100,sym35,symmetric,0.35,0,test,msp,0.8214312575573199,0.22756907058316656,0.1093,0.264,0.045,0.0948,0.2224,0.35133333333333333,0.4668,10000,5332,0.5332,ok,runs/srcc_cifar100_sym35_seed0
cifar100,sym35,symmetric,0.35,0,test,entropy,0.8174949826788316,0.2292887805917501,0.1087,0.2562,0.043,0.0972,0.2228,0.3566666666666667,0.4668,10000,5332,0.5332,ok,runs/srcc_cifar100_sym35_seed0
cifar100,sym35,symmetric,0.35,0,test,margin,0.8150495207349395,0.22961107344375165,0.1105,0.265,0.045,0.096,0.2264,0.35746666666666665,0.4668,10000,5332,0.5332,ok,runs/srcc_cifar100_sym35_seed0
