dataset,regime,score_name,coverage_level,mean_risk,std_risk,n_seeds
cifar10,sym35,entropy,1.0,0.3213333333333333,0.010165792312128639,3
cifar10,sym35,margin,0.1,0.04833333333333334,0.009712534856222308,3
cifar10,sym35,margin,0.25,0.07973333333333334,0.007687218829546435,3
cifar10,sym35,margin,0.5,0.1424,0.011405261943506596,3
cifar10,sym35,margin,0.75,0.22653333333333334,0.00996616498179938,3
cifar10,sym35,margin,1.0,0.3213333333333333,0.010165792312128639,3
cifar10,sym35,maxlogit,0.1,0.061,0.010440306508910547,3
cifar10,sym35,maxlogit,0.25,0.09266666666666667,0.008711677986090478,3
cifar10,sym35,maxlogit,0.5,0.156,0.009429740187301028,3
cifar10,sym35,maxlogit,0.75,0.23253333333333334,0.008133333333333333,3
cifar10,sym35,maxlogit,1.0,0.3213333333333333,0.010165792312128639,3
cifar10,sym35,msp,0.1,0.04900000000000001,0.009165151389911677,3
cifar10,sym35,msp,0.25,0.0788,0.006609084656743325,3
cifar10,sym35,msp,0.5,0.14006666666666667,0.01061005812111005,3
cifar10,sym35,msp,0.75,0.22555555555555554,0.009107099387799555,3
cifar10,sym35,msp,1.0,0.3213333333333333,0.010165792312128639,3
cifar100,asym20,energy,0.1,0.03766666666666667,0.00808290376865476,3
cifar100,asym20,energy,0.25,0.0796,0.0024979991993593596,3
cifar100,asym20,energy,0.5,0.14753333333333332,0.005801149311415225,3
cifar100,asym20,energy,0.75,0.23808888888888888,0.002982417612410254,3
cifar100,asym20,energy,1.0,0.35013333333333335,0.0027061657993059586,3
cifar100,asym20,entropy,0.1,0.021,0.006,3
cifar100,asym20,entropy,0.25,0.0456,0.003019933774108299,3
cifar100,asym20,entropy,0.5,0.1198,0.0017088007490635064,3
cifar100,asym20,entropy,0.75,0.2289777777777778,0.00337660798457291,3
cifar100,asym20,entropy,1.0,0.35013333333333335,0.0027061657993059586,3
cifar100,asym20,margin,0.1,0.02266666666666667,0.002309401076758503,3
cifar100,asym20,margin,0.25,0.0488,0.0022271057451320095,3
cifar100,asym20,margin,0.5,0.11926666666666667,0.0030287511177601437,3
cifar100,asym20,margin,0.75,0.22915555555555556,0.005775555128040672,3
