dataset,regime,noise_type,noise_rate,seed,alpha,gamma,score_name,threshold,threshold_direction,baseline_name,baseline_equivalence,prop_coverage,prop_risk,prop_n,prop_k,cert_n,cert_k,cert_risk_ucb,cert_coverage_lcb,certified,certified_coverage_at_alpha,test_coverage,test_risk,reason,delta_total,delta_risk,delta_coverage,delta_allocation,certificate_scope,n_certified_candidates,delta_risk_per_row,delta_coverage_per_row,run_dir,model,epochs,delta,cert_risk_emp,cert_coverage_emp,test_n,test_k,test_accuracy_all,zero_error_min_cert_n,cert_n_minus_zero_error_min_n
cifar10,clean,symmetric,0.0,2,0.1,0.5,energy,-2.8887997650792023,<=,srcc_main,,1.0,0.0452,2500,113,2500,110,0.0535660678474299,0.998363602535883,True,0.998363602535883,1.0,0.0519,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_clean_seed2,resnet18,120,0.0166666666666666,0.044,1.0,10000.0,519.0,0.9481,39.0,2461.0
cifar10,sym35,symmetric,0.35,0,0.05,1.0,entropy,0.0034839214370095,<=,srcc_main,,0.1216,0.0493421052631578,304,15,260,17,0.1059999914241893,0.0913505187022528,False,0.0,0.1089,0.0413223140495867,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_sym35_seed0,resnet18,120,0.0166666666666666,0.0653846153846153,0.104,1089.0,45.0,0.6759999999999999,80.0,180.0
cifar10,sym35,symmetric,0.35,0,0.1,1.0,margin,0.9821069098352028,>=,srcc_main,,0.3264,0.0980392156862745,816,80,774,64,0.1062808535557831,0.2899916745261695,False,0.0,0.31,0.0919354838709677,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_sym35_seed0,resnet18,120,0.0166666666666666,0.082687338501292,0.3096,3100.0,285.0,0.6759999999999999,39.0,735.0
cifar10,sym35,symmetric,0.35,1,0.05,1.0,margin,0.9977038264095855,>=,srcc_main,,0.1356,0.0471976401179941,339,16,319,22,0.1055815382232475,0.1137112383450798,False,0.0,0.1267,0.0631412786108918,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_sym35_seed1,resnet18,120,0.0166666666666666,0.0689655172413793,0.1276,1267.0,80.0,0.6700999999999999,80.0,239.0
cifar10,sym35,symmetric,0.35,1,0.1,1.0,margin,0.9479904473009292,>=,srcc_main,,0.4168,0.0988483685220729,1042,103,1028,111,0.1303717969711693,0.3901900153685774,False,0.0,0.4026,0.1234475906607054,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_sym35_seed1,resnet18,120,0.0166666666666666,0.107976653696498,0.4112,4026.0,497.0,0.6700999999999999,39.0,989.0
cifar10,sym35,symmetric,0.35,2,0.05,1.0,margin,0.9980670895978706,>=,srcc_main,,0.1156,0.0484429065743944,289,14,287,16,0.0919796140746519,0.1015607994078321,False,0.0,0.117,0.0504273504273504,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_sym35_seed2,resnet18,120,0.0166666666666666,0.0557491289198606,0.1148,1170.0,59.0,0.6899,80.0,207.0
cifar10,sym35,symmetric,0.35,2,0.1,0.5,margin,0.9980670895978706,>=,srcc_main,,0.1156,0.0484429065743944,289,14,287,16,0.0919796140746519,0.1015607994078321,True,0.1015607994078321,0.117,0.0504273504273504,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_sym35_seed2,resnet18,120,0.0166666666666666,0.0557491289198606,0.1148,1170.0,59.0,0.6899,39.0,248.0
cifar100,asym20,asymmetric,0.2,0,0.05,0.5,msp,0.995988491249504,>=,srcc_main,,0.1708,0.0234192037470726,427,10,383,10,0.0494857149328364,0.1381478736270826,True,0.1381478736270826,0.1579,0.0278657378087397,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_asym20_seed0,resnet18,120,0.0166666666666666,0.0261096605744125,0.1532,1579.0,44.0,0.6476999999999999,80.0,303.0
cifar100,asym20,asymmetric,0.2,0,0.1,0.7,entropy,0.0376834749248812,<=,srcc_main,,0.3324,0.0697954271961492,831,58,768,45,0.0793178194769699,0.287637269401068,True,0.287637269401068,0.3168,0.0662878787878787,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_asym20_seed0,resnet18,120,0.0166666666666666,0.05859375,0.3072,3168.0,210.0,0.6476999999999999,39.0,729.0
cifar100,asym20,asymmetric,0.2,1,0.05,1.0,entropy,0.0165138278677714,<=,srcc_main,,0.242,0.0495867768595041,605,30,558,31,0.0799434708661058,0.2056623395127327,False,0.0,0.2391,0.0455876202425763,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_asym20_seed1,resnet18,120,0.0166666666666666,0.0555555555555555,0.2232,2391.0,109.0,0.6529,80.0,478.0
