dataset,regime,noise_type,noise_rate,seed,alpha,gamma,score_name,requested_budget,actual_prop_size,actual_cert_size,subsample_seed,prop_n,prop_k,prop_coverage,prop_risk,cert_n,cert_k,cert_risk_ucb,cert_coverage_lcb,certified,certified_coverage_at_alpha,test_coverage,test_risk,reason,delta,delta_total,delta_risk,delta_coverage,delta_allocation,threshold,threshold_direction,cert_risk_emp,cert_coverage_emp,test_n,test_k,test_accuracy_all,certificate_scope,n_certified_candidates,zero_error_min_cert_n,cert_n_minus_zero_error_min_n,run_dir
cifar10,asym20,asymmetric,0.2,0,0.05,0.7,maxlogit,250,250,250,3,39,1,0.156,0.02564102564102564,32,3,0.2869229512441092,0.08202365923088932,False,0.0,0.1525,0.049836065573770495,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,10.229918245143027,>=,0.09375,0.128,1525,76,0.8002,simultaneous_rows,3,94,-62,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.05,1.0,maxlogit,250,250,250,3,44,2,0.176,0.045454545454545456,34,3,0.2718713806391517,0.08858363545841746,False,0.0,0.1614,0.052664188351920695,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,10.162893186406274,>=,0.08823529411764706,0.136,1614,85,0.8002,simultaneous_rows,3,94,-60,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.5,msp,250,250,250,3,124,6,0.496,0.04838709677419355,139,10,0.14182628286831175,0.478349454676109,False,0.0,0.5128,0.06532761310452419,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9855367679253979,>=,0.07194244604316546,0.556,5128,335,0.8002,simultaneous_rows,3,46,93,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.7,msp,250,250,250,3,129,9,0.516,0.06976744186046512,144,10,0.1370850256394601,0.4984056590792713,False,0.0,0.5347,0.06938470170188892,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.982922381176921,>=,0.06944444444444445,0.576,5347,371,0.8002,simultaneous_rows,3,46,98,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,1.0,msp,250,250,250,3,181,18,0.724,0.09944751381215469,196,24,0.18923184154168463,0.7151615775180304,False,0.0,0.7214,0.11255891322428611,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9198817076245919,>=,0.12244897959183673,0.784,7214,812,0.8002,simultaneous_rows,3,46,150,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.5,entropy,250,250,250,3,122,6,0.488,0.04918032786885246,136,8,0.12566146379442827,0.4663742233335145,False,0.0,0.5042,0.06406188020626735,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.03409663301077235,<=,0.058823529411764705,0.544,5042,323,0.8002,simultaneous_rows,3,46,90,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.7,entropy,250,250,250,3,126,8,0.504,0.06349206349206349,141,9,0.1307017578271684,0.48635724505802586,False,0.0,0.5208,0.06643625192012288,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.037678034694794804,<=,0.06382978723404255,0.564,5208,346,0.8002,simultaneous_rows,3,46,95,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,1.0,entropy,250,250,250,3,171,17,0.684,0.09941520467836257,187,19,0.16637932771855743,0.6764108432877425,False,0.0,0.7012,0.10510553337136337,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.11656699322407305,<=,0.10160427807486631,0.748,7012,737,0.8002,simultaneous_rows,3,46,141,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.5,margin,250,250,250,3,124,6,0.496,0.04838709677419355,139,10,0.14182628286831175,0.478349454676109,False,0.0,0.5164,0.06797056545313711,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9724608697462624,>=,0.07194244604316546,0.556,5164,351,0.8002,simultaneous_rows,3,46,93,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.7,margin,250,250,250,3,129,9,0.516,0.06976744186046512,144,10,0.1370850256394601,0.4984056590792713,False,0.0,0.5357,0.07018853836102296,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9680401310540978,>=,0.06944444444444445,0.576,5357,376,0.8002,simultaneous_rows,3,46,98,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,1.0,margin,250,250,250,3,176,17,0.704,0.09659090909090909,192,21,0.17463473869268575,0.6978609236709552,False,0.0,0.7119,0.11068970361005759,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.8606319080963184,>=,0.109375,0.768,7119,788,0.8002,simultaneous_rows,3,46,146,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.5,energy,250,250,250,3,44,2,0.176,0.045454545454545456,34,3,0.2718713806391517,0.08858363545841746,False,0.0,0.1604,0.05236907730673317,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,-10.171527073077332,<=,0.08823529411764706,0.136,1604,84,0.8002,simultaneous_rows,3,46,-12,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.7,energy,250,250,250,3,58,4,0.232,0.06896551724137931,54,4,0.20425843846360003,0.15692318992555693,False,0.0,0.2168,0.056734317343173434,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,-9.803560437890173,<=,0.07407407407407407,0.216,2168,123,0.8002,simultaneous_rows,3,46,8,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,1.0,energy,250,250,250,3,138,13,0.552,0.09420289855072464,159,17,0.17937307081822826,0.5593267385021261,False,0.0,0.5508,0.09876543209876543,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,-8.24204452625079,<=,0.1069182389937107,0.636,5508,544,0.8002,simultaneous_rows,3,46,113,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.5,maxlogit,250,250,250,3,44,2,0.176,0.045454545454545456,34,3,0.2718713806391517,0.08858363545841746,False,0.0,0.1614,0.052664188351920695,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,10.162893186406274,>=,0.08823529411764706,0.136,1614,85,0.8002,simultaneous_rows,3,46,-12,runs/srcc_cifar10_asym20_seed0
