dataset,regime,alpha,requested_budget,gamma,score_name,row_count,certification_rate,mean_certified_coverage_at_alpha,mean_cert_risk_ucb,mean_test_risk,mean_test_coverage
cifar10,asym20,0.05,250,0.5,entropy,5,0.0,0.0,0.22957388915678134,0.03879939605253406,0.21963999999999997
cifar10,asym20,0.05,250,0.5,margin,5,0.0,0.0,0.26831346005026185,0.0347991537620201,0.20457999999999998
cifar10,asym20,0.05,250,0.5,maxlogit,5,0.0,0.0,0.3628835962941409,0.05416810030134769,0.14209999999999998
cifar10,asym20,0.05,250,0.5,msp,5,0.0,0.0,0.2575470013447227,0.03915023571338366,0.20594
cifar10,asym20,0.05,250,0.7,energy,5,0.0,0.0,0.32076413305990303,0.06302442026872354,0.20578
cifar10,asym20,0.05,250,0.7,entropy,5,0.0,0.0,0.23299839472931266,0.03942652672589486,0.23237999999999998
cifar10,asym20,0.05,250,0.7,margin,5,0.0,0.0,0.23690400592569594,0.0395817282978589,0.26866
cifar10,asym20,0.05,250,0.7,maxlogit,5,0.0,0.0,0.32112988900052913,0.061126838183058405,0.20418000000000003
cifar10,asym20,0.05,250,0.7,msp,5,0.0,0.0,0.24970175273878642,0.04077470133677538,0.22882000000000002
cifar10,asym20,0.05,250,1.0,energy,5,0.0,0.0,0.3182683922443813,0.06506022644061304,0.2217
cifar10,asym20,0.05,250,1.0,entropy,5,0.0,0.0,0.21232718644482235,0.04815233921615465,0.33262
cifar10,asym20,0.05,250,1.0,margin,5,0.0,0.0,0.23246660265335248,0.044151138593670994,0.31166
cifar10,asym20,0.05,250,1.0,maxlogit,5,0.0,0.0,0.32017921663584537,0.06723875616016087,0.25006
cifar10,asym20,0.05,250,1.0,msp,5,0.0,0.0,0.23050851404579994,0.0495856533210449,0.33318
cifar10,asym20,0.05,500,0.5,energy,5,0.0,0.0,0.3724450689880887,0.049283053855356404,0.096
cifar10,asym20,0.05,500,0.5,entropy,5,0.0,0.0,0.09640306256326617,0.0409211642343099,0.22964
cifar10,asym20,0.05,500,0.5,margin,5,0.0,0.0,0.1005731747456035,0.04215756623852866,0.22671999999999998
cifar10,asym20,0.05,500,0.5,maxlogit,5,0.0,0.0,0.36883374472301494,0.04925776506498156,0.0978
cifar10,asym20,0.05,500,0.5,msp,5,0.0,0.0,0.09470267038266493,0.0411266948223565,0.23305999999999996
cifar10,asym20,0.05,500,0.7,energy,5,0.0,0.0,0.36096480355985644,0.050350549607898164,0.11013999999999999
cifar10,asym20,0.05,500,0.7,entropy,5,0.2,0.04696600960325226,0.09705060678302233,0.046548010379092286,0.30973999999999996
cifar10,asym20,0.05,500,0.7,margin,5,0.0,0.0,0.09916473054492218,0.04723741847009465,0.29968
cifar10,asym20,0.05,500,0.7,maxlogit,5,0.0,0.0,0.35582852503038415,0.052829589355967675,0.12132000000000001
cifar10,asym20,0.05,500,0.7,msp,5,0.0,0.0,0.09946164711215158,0.0460159746163038,0.30013999999999996
cifar10,asym20,0.05,500,1.0,energy,5,0.0,0.0,0.13151721642439243,0.06269779858323957,0.25095999999999996
cifar10,asym20,0.05,500,1.0,entropy,5,0.0,0.0,0.09674352777856739,0.05713786529958544,0.42358
cifar10,asym20,0.05,500,1.0,margin,5,0.0,0.0,0.10024579347513411,0.05872649903957141,0.42648
cifar10,asym20,0.05,500,1.0,maxlogit,5,0.0,0.0,0.13972708189392946,0.06344941445860988,0.27471999999999996
cifar10,asym20,0.05,500,1.0,msp,5,0.0,0.0,0.09749180735085763,0.05740988710276825,0.42392
cifar10,asym20,0.05,full,0.5,energy,5,0.0,0.0,0.1332881732272999,0.04523809523809524,0.042
cifar10,asym20,0.05,full,0.5,entropy,5,0.0,0.0,0.06204747694256576,0.03623611922852133,0.1711
cifar10,asym20,0.05,full,0.5,margin,5,0.0,0.0,0.05831304000735832,0.04008667388949079,0.1846
cifar10,asym20,0.05,full,0.5,maxlogit,5,0.0,0.0,0.11867514408462168,0.046341463414634146,0.041
cifar10,asym20,0.05,full,0.5,msp,5,0.0,0.0,0.0601223346505282,0.03745108999441028,0.1789
cifar10,asym20,0.05,full,0.7,energy,5,0.0,0.0,0.08605897613075347,0.049191848208011243,0.1423
cifar10,asym20,0.05,full,0.7,entropy,5,0.0,0.0,0.05712827052045559,0.042748091603053436,0.262
cifar10,asym20,0.05,full,0.7,margin,5,0.0,0.0,0.06156231788317921,0.0388739946380697,0.2238
cifar10,asym20,0.05,full,0.7,maxlogit,5,0.0,0.0,0.08660836213604955,0.04940014114326041,0.1417
cifar10,asym20,0.05,full,0.7,msp,5,0.0,0.0,0.059649348841666935,0.03927364864864865,0.23680000000000004
cifar10,asym20,0.05,full,1.0,energy,5,0.0,0.0,0.08086747492008098,0.053842388644150765,0.2043
cifar10,asym20,0.05,full,1.0,entropy,5,0.0,0.0,0.06786338545919185,0.053799082100968884,0.3922
cifar10,asym20,0.05,full,1.0,margin,5,0.0,0.0,0.06432885547036668,0.05714285714285714,0.392
cifar10,asym20,0.05,full,1.0,maxlogit,5,0.0,0.0,0.08024464144572539,0.05323741007194245,0.2085
cifar10,asym20,0.05,full,1.0,msp,5,0.0,0.0,0.06432885547036668,0.054735234215885956,0.3928
cifar10,asym20,0.1,1000,0.5,energy,5,0.4,0.07222311455568027,0.11770253169396258,0.05407452765399499,0.17376
cifar10,asym20,0.1,1000,0.5,entropy,5,1.0,0.3742704493947778,0.08258849653089877,0.056415155972918615,0.41286000000000006
cifar10,asym20,0.1,1000,0.5,margin,5,1.0,0.36910634220116767,0.08126242097530836,0.05714581011136877,0.40724
cifar10,asym20,0.1,1000,0.5,maxlogit,5,0.4,0.0908282584368245,0.12039246497056318,0.055279397399153704,0.19358
cifar10,asym20,0.1,1000,0.5,msp,5,1.0,0.36972772012211186,0.08120430875140754,0.0562675036056007,0.40952
cifar10,asym20,0.1,1000,0.7,energy,5,0.0,0.0,0.1167267576305219,0.07468195587674058,0.37626
cifar10,asym20,0.1,1000,0.7,entropy,5,0.8,0.3809124396234423,0.09407715091593374,0.06781503861600374,0.51982
cifar10,asym20,0.1,1000,0.7,margin,5,0.6,0.27284095619146387,0.0971486122895709,0.06854821796115748,0.51472
cifar10,asym20,0.1,1000,0.7,maxlogit,5,0.2,0.08975623202493974,0.1141659005768553,0.07695222390482258,0.41776
cifar10,asym20,0.1,1000,0.7,msp,5,0.6,0.2806066717122457,0.09830629312873514,0.0691419615047344,0.52378
cifar10,asym20,0.1,1000,1.0,energy,5,0.0,0.0,0.14598395428671443,0.1051421313350791,0.60468
cifar10,asym20,0.1,1000,1.0,entropy,5,0.0,0.0,0.12508055041491692,0.09843953453446615,0.6721600000000001
cifar10,asym20,0.1,1000,1.0,margin,5,0.0,0.0,0.12580133137017765,0.09967757740676175,0.6687000000000001
cifar10,asym20,0.1,1000,1.0,maxlogit,5,0.0,0.0,0.1402830920220767,0.10134408987489,0.61048
cifar10,asym20,0.1,1000,1.0,msp,5,0.0,0.0,0.12558697509214803,0.09952007407149611,0.6715399999999999
cifar10,asym20,0.1,1500,0.5,energy,5,0.8,0.17347183870323885,0.09316896562919647,0.05932045052481427,0.24012000000000003
cifar10,asym20,0.1,1500,0.5,entropy,5,1.0,0.38182966481432445,0.07338949017400354,0.056744208819457756,0.41912000000000005
cifar10,asym20,0.1,1500,0.5,margin,5,1.0,0.36371049295526203,0.07372674851881014,0.05675753997582463,0.40122
cifar10,asym20,0.1,1500,0.5,maxlogit,5,0.6,0.13009289379389474,0.093727290674239,0.05999830353956359,0.26011999999999996
cifar10,asym20,0.1,1500,0.5,msp,5,1.0,0.37012829398304625,0.0733823624243583,0.05612487331034436,0.40896
cifar10,asym20,0.1,1500,0.7,energy,5,0.2,0.037319914269368246,0.11225303259770777,0.07795074251532716,0.40132
cifar10,asym20,0.1,1500,0.7,entropy,5,0.8,0.4101339865178274,0.09226887232602207,0.0713973628295829,0.54762
cifar10,asym20,0.1,1500,0.7,margin,5,0.8,0.41199917792405244,0.09396391225439522,0.0719085981706005,0.54348
cifar10,asym20,0.1,1500,0.7,maxlogit,5,0.2,0.04165396848432516,0.1116091031549151,0.08020453867056919,0.4297000000000001
cifar10,asym20,0.1,1500,0.7,msp,5,1.0,0.5120158206296741,0.09231152444884491,0.07132802638327597,0.5438799999999999
cifar10,asym20,0.1,1500,1.0,energy,5,0.0,0.0,0.13959904044023252,0.10607148799679127,0.6112599999999999
cifar10,asym20,0.1,1500,1.0,entropy,5,0.0,0.0,0.12605284938891254,0.10809127943873793,0.71162
cifar10,asym20,0.1,1500,1.0,margin,5,0.0,0.0,0.12647658766559083,0.11037000372423356,0.71094
cifar10,asym20,0.1,1500,1.0,maxlogit,5,0.0,0.0,0.13359214733127997,0.10268771025380174,0.61838
cifar10,asym20,0.1,1500,1.0,msp,5,0.0,0.0,0.12748970445425997,0.10966291935953867,0.71182
cifar10,asym20,0.1,2000,0.5,energy,5,1.0,0.161048713677631,0.08754991184282869,0.054473770793922204,0.20002
cifar10,asym20,0.1,2000,0.5,entropy,5,1.0,0.3659836499416031,0.07162285224054038,0.05436488401783446,0.39608000000000004
cifar10,asym20,0.1,2000,0.5,margin,5,1.0,0.358084344575792,0.07076006277112767,0.0559768100074188,0.39014000000000004
cifar10,asym20,0.1,2000,0.5,maxlogit,5,1.0,0.16245823381692284,0.08655859150115322,0.05316619928739148,0.20106000000000002
cifar10,asym20,0.1,2000,0.5,msp,5,1.0,0.3624289644350899,0.07142824841403897,0.05494869022073108,0.39388
cifar10,asym20,0.1,2000,0.7,energy,5,0.4,0.12374898951694313,0.10402440209899697,0.07481798534908377,0.38068
cifar10,asym20,0.1,2000,0.7,entropy,5,1.0,0.4970980505679658,0.08658658070701084,0.06720255213684606,0.52466
cifar10,asym20,0.1,2000,0.7,margin,5,1.0,0.49262777962983584,0.08732033521891155,0.06842350629985755,0.52104
cifar10,asym20,0.1,2000,0.7,maxlogit,5,0.2,0.06815164175605692,0.1056610833974205,0.07947276537905323,0.44378
cifar10,asym20,0.1,2000,0.7,msp,5,1.0,0.4961088826182647,0.08575062141621614,0.06814806779146551,0.5249
cifar10,asym20,0.1,2000,1.0,energy,5,0.0,0.0,0.13029534036574036,0.10271813750243168,0.5908200000000001
cifar10,asym20,0.1,2000,1.0,entropy,5,0.0,0.0,0.11406179039019741,0.10375607683530433,0.69532
