dataset,regime,seed,alpha,original_best_certified_coverage_at_alpha,temp_scaled_best_certified_coverage_at_alpha,delta_certified_coverage_at_alpha,original_certified,temp_scaled_certified,original_best_score,temp_scaled_best_score,temperature,prop_nll_before,prop_nll_after
cifar10,asym20,0,0.05,0.0,0.0,0.0,False,False,,,1.725219359983354,0.682331554716972,0.5486238984744265
cifar10,asym20,0,0.1,0.5113328522749978,0.5219007789344643,0.010567926659466487,True,True,entropy,entropy,1.725219359983354,0.682331554716972,0.5486238984744265
cifar10,sym35,0,0.05,0.0,0.0,0.0,False,False,,,1.9708753014533635,1.3542051968649582,1.0489415455919289
cifar10,sym35,0,0.1,0.0,0.0,0.0,False,False,,,1.9708753014533635,1.3542051968649582,1.0489415455919289
cifar100,asym20,0,0.05,0.1381478736270826,0.12835626106853482,-0.009791612558547796,True,True,msp,margin,1.2872168324111615,1.429107965629083,1.3689503344887508
cifar100,asym20,0,0.1,0.287637269401068,0.2793816988071906,-0.008255570593877382,True,True,entropy,msp,1.2872168324111615,1.429107965629083,1.3689503344887508
cifar100,sym35,0,0.05,0.0,0.0,0.0,False,False,,,1.3219489219871996,2.0865040186219317,1.9849414781510923
cifar100,sym35,0,0.1,0.1220923093240026,0.11962782942262594,-0.0024644799013766594,True,True,margin,msp,1.3219489219871996,2.0865040186219317,1.9849414781510923
