dataset,regime,noise_type,noise_rate,seed,alpha,gamma,score_name,threshold,threshold_direction,method_name,temperature,prop_nll_before,prop_nll_after,temperature_fit_split,temperature_fit_objective,prop_n,prop_k,prop_coverage,prop_risk,cert_n,cert_k,cert_risk_ucb,cert_coverage_lcb,certified,certified_coverage_at_alpha,test_coverage,test_risk,delta_total,delta_risk,delta_coverage,delta_allocation,certificate_scope,n_certified_candidates,reason,delta,cert_risk_emp,cert_coverage_emp,test_n,test_k,test_accuracy_all,zero_error_min_cert_n,cert_n_minus_zero_error_min_n,run_dir,guarantee_source
cifar10,sym35,symmetric,0.35,0,0.1,0.7,maxlogit,4.575674907133141,>=,temperature_scaled_srcc,1.9708753014533635,1.3542051968649582,1.0489415455919289,prop,nll,465,32,0.186,0.06881720430107527,440,32,0.1077505685633724,0.15812053645250906,False,0.0,0.1691,0.06918982850384388,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.07272727272727272,0.176,1691,117,0.6759999999999999,46,394,runs/srcc_cifar10_sym35_seed0,cert_risk_ucb_on_independent_certification_split
cifar10,sym35,symmetric,0.35,0,0.1,1.0,margin,0.7544459847548012,>=,temperature_scaled_srcc,1.9708753014533635,1.3542051968649582,1.0489415455919289,prop,nll,841,82,0.3364,0.09750297265160524,786,63,0.10627642185902969,0.29229664230643215,False,0.0,0.3144,0.09192111959287531,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.08015267175572519,0.3144,3144,289,0.6759999999999999,46,740,runs/srcc_cifar10_sym35_seed0,cert_risk_ucb_on_independent_certification_split
cifar100,asym20,asymmetric,0.2,0,0.05,0.5,margin,0.9725676041610338,>=,temperature_scaled_srcc,1.2872168324111615,1.429107965629083,1.3689503344887508,prop,nll,414,10,0.1656,0.024154589371980676,362,8,0.04828645083339015,0.12835626106853482,True,0.12835626106853482,0.151,0.025165562913907286,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,certified,0.008333333333333333,0.022099447513812154,0.1448,1510,38,0.6476999999999999,94,268,runs/srcc_cifar100_asym20_seed0,cert_risk_ucb_on_independent_certification_split
cifar100,asym20,asymmetric,0.2,0,0.05,0.7,entropy,0.04016547715921479,<=,temperature_scaled_srcc,1.2872168324111615,1.429107965629083,1.3689503344887508,prop,nll,517,18,0.2068,0.03481624758220503,469,16,0.05979384188593435,0.16924321651764748,False,0.0,0.1975,0.03949367088607595,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.03411513859275053,0.1876,1975,78,0.6476999999999999,94,375,runs/srcc_cifar100_asym20_seed0,cert_risk_ucb_on_independent_certification_split
cifar100,asym20,asymmetric,0.2,0,0.05,1.0,entropy,0.0669668173148262,<=,temperature_scaled_srcc,1.2872168324111615,1.429107965629083,1.3689503344887508,prop,nll,680,34,0.272,0.05,621,30,0.07294322123745509,0.22794703744506742,False,0.0,0.257,0.05291828793774319,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.04830917874396135,0.2484,2570,136,0.6476999999999999,94,527,runs/srcc_cifar100_asym20_seed0,cert_risk_ucb_on_independent_certification_split
cifar100,asym20,asymmetric,0.2,0,0.1,0.5,entropy,0.0669668173148262,<=,temperature_scaled_srcc,1.2872168324111615,1.429107965629083,1.3689503344887508,prop,nll,680,34,0.272,0.05,621,30,0.07294322123745509,0.22794703744506742,True,0.22794703744506742,0.257,0.05291828793774319,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,certified,0.008333333333333333,0.04830917874396135,0.2484,2570,136,0.6476999999999999,46,575,runs/srcc_cifar100_asym20_seed0,cert_risk_ucb_on_independent_certification_split
cifar100,asym20,asymmetric,0.2,0,0.1,0.7,msp,0.9151817969828892,>=,temperature_scaled_srcc,1.2872168324111615,1.429107965629083,1.3689503344887508,prop,nll,816,56,0.3264,0.06862745098039216,753,45,0.0836612407709999,0.2793816988071906,True,0.2793816988071906,0.3097,0.06457862447529868,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,certified,0.008333333333333333,0.05976095617529881,0.3012,3097,200,0.6476999999999999,46,707,runs/srcc_cifar100_asym20_seed0,cert_risk_ucb_on_independent_certification_split
cifar100,asym20,asymmetric,0.2,0,0.1,1.0,margin,0.7333225730499936,>=,temperature_scaled_srcc,1.2872168324111615,1.429107965629083,1.3689503344887508,prop,nll,1092,109,0.4368,0.09981684981684982,1018,85,0.10649780335231245,0.38364788610984085,False,0.0,0.4156,0.0904716073147257,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.08349705304518663,0.4072,4156,376,0.6476999999999999,46,972,runs/srcc_cifar100_asym20_seed0,cert_risk_ucb_on_independent_certification_split
cifar100,sym35,symmetric,0.35,0,0.05,0.5,margin,0.9675811122232625,>=,temperature_scaled_srcc,1.3219489219871996,2.0865040186219317,1.9849414781510923,prop,nll,251,6,0.1004,0.02390438247011952,229,5,0.05739095618026037,0.07828013688652818,False,0.0,0.1011,0.04451038575667656,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.021834061135371178,0.0916,1011,45,0.5332,94,135,runs/srcc_cifar100_sym35_seed0,cert_risk_ucb_on_independent_certification_split
cifar100,sym35,symmetric,0.35,0,0.05,0.7,msp,0.9613674391196091,>=,temperature_scaled_srcc,1.3219489219871996,2.0865040186219317,1.9849414781510923,prop,nll,302,10,0.1208,0.033112582781456956,278,10,0.07228504605041523,0.09660736624079955,False,0.0,0.1265,0.057707509881422925,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.03597122302158273,0.1112,1265,73,0.5332,94,184,runs/srcc_cifar100_sym35_seed0,cert_risk_ucb_on_independent_certification_split
cifar100,sym35,symmetric,0.35,0,0.05,1.0,msp,0.9448130489729737,>=,temperature_scaled_srcc,1.3219489219871996,2.0865040186219317,1.9849414781510923,prop,nll,364,17,0.1456,0.046703296703296704,339,20,0.09691310915072543,0.11962782942262594,False,0.0,0.1498,0.06608811748998665,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.058997050147492625,0.1356,1498,99,0.5332,94,245,runs/srcc_cifar100_sym35_seed0,cert_risk_ucb_on_independent_certification_split
cifar100,sym35,symmetric,0.35,0,0.1,0.5,msp,0.9448130489729737,>=,temperature_scaled_srcc,1.3219489219871996,2.0865040186219317,1.9849414781510923,prop,nll,364,17,0.1456,0.046703296703296704,339,20,0.09691310915072543,0.11962782942262594,True,0.11962782942262594,0.1498,0.06608811748998665,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,certified,0.008333333333333333,0.058997050147492625,0.1356,1498,99,0.5332,46,293,runs/srcc_cifar100_sym35_seed0,cert_risk_ucb_on_independent_certification_split
cifar100,sym35,symmetric,0.35,0,0.1,0.7,margin,0.875433910244239,>=,temperature_scaled_srcc,1.3219489219871996,2.0865040186219317,1.9849414781510923,prop,nll,490,33,0.196,0.0673469387755102,439,33,0.1106620691116853,0.15773750301281325,False,0.0,0.196,0.08112244897959184,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.07517084282460136,0.1756,1960,159,0.5332,46,393,runs/srcc_cifar100_sym35_seed0,cert_risk_ucb_on_independent_certification_split
cifar100,sym35,symmetric,0.35,0,0.1,1.0,msp,0.7987923981268747,>=,temperature_scaled_srcc,1.3219489219871996,2.0865040186219317,1.9849414781510923,prop,nll,703,70,0.2812,0.09957325746799431,635,72,0.14687974583806615,0.23338398583353595,False,0.0,0.2809,0.1057315770736917,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.11338582677165354,0.254,2809,297,0.5332,46,589,runs/srcc_cifar100_sym35_seed0,cert_risk_ucb_on_independent_certification_split
